Page,Line,Word,Information,media,Bookmarks
5,1,فناوله كتابا,"ورد في الرسالة الشريفة سلام نضرة النعيم (1387هـ) صـ 305: ""فناوله كتابا (قيل ان فيه مسائل كان يريد الاجابة عنها) فاَقبل ينظر فيه (فلما فرغ من قراءته) قال له ابن عباس"".",,
5,8,غيضا من فيض,"لفظه ""اعطاه غيضا من فيض"" اي قليلا من كثير، يُضرب لمن يسمح بالقُلِّ من كُثرِه
(فرائد اللآل في مجمع الامثال لابراهيم علي الاحدب الطرابلسي، ج\2، صـ13)",,
5,3,شقشقة,"The bursa faucium, or faucial bag, which is placed behind the palate of the he-camel, and which, when excited, he inflates, and blows out from the side of his mouth;..a skin in the fauces of the Arabian camel, which he inflates with wind, and in which he brays; whereupon it appears from the side of his mouth.
(Arabic-English Lexicon by Edward William Lane)",,
5,5,ونقول قد اَبان صلى الله عليه في هذه الخطبة,"راجع كتاب الجلية في شرح الخطبة الشقشقية لحسام المرسومي، وكتاب الشقشقية - دراسة موضوعية لشخصيات تصدَّت للخلافة الاسلامية للشيخ عبد الرسول الغفاري.",,
5,6,وفي عينه قذى وفي حلقه شجى,"من بيان الذكرى 1425 - راجع كتاب اِهداء درر كلمات الافادات (1425هـ) صـ 77
قال الداعي الاجل الفاطمي سيدنا محمد برهان الدين رض
اْ شان نا مولى علي – عين الله العظيمة، اْپ رسول الله صلع ني نقلة نا بعد اْپ انے اْپ نا اهل بيت پر جھ جھ ظلم وستم تھيا يھ سگلو ديكھے چھے، جھ ظلم وستم ني ذكر اْپ نا خطبة بليغة جھ ""خطبة شقشقية"" سي معروف چھے، اهما فرماوے چھے: سگلا سقيفة ما جمع تھئي نے خلافة نو قميص اول نے پهنايو اْ ابن ابي قحافة يھ پهني ليدو قميص، حالانكھ يھ برابر عين اليقين سي جانے چھے كھ اْ خلافة نو حقدار ميں چھوں، ""محلي منها محل القطب من الرحا""...مگر حالات انے امور اهوا بنا كھ ميں يھ اْ مثل ني بلاء انے فتنة عمياء پر صبر كيدو، كيوي فتنة كھ نوجوان نے بڑهاپو اْوي جائي...
اْ مثل ظلم وستم تھيا اهما ميں يھ سوں كيدو ، ""فصبرت وفي العين قذى وفي الحلق شجى""، ...اْ مثل بيان كري نے امير المؤمنين اْپ نا فرزندو ائمة طاهرين انے ايكويسما امام طيب ابو القاسم نا دعاة نے بركة يھ عطاء كري دے چھے كھ اسلام انے ايمان ني بقاء نا خاطر محنتو انے بلاء اْوے تو صبر كرجو...مؤمنين ني جماعة! صبر ني انتهاء اْ كلمة ما واضح نظر اْوے چھے""
(من بيان الذكرى، 17 شوال المكرم 1425ھـ).
ايضا من شرح ابن الحديد.",,
5,14,عثمان,"‌‌ عُثمانُ بنُ عفَّانَ بنِ ابي العاصِ بنِ اميَّةَ بنِ عَبدِ شَمْسٍ القُرَشيُّ، ابو عَمرٍو، ويُقالُ ايضًا: ابو عبدِ اللَّهِ، الامَويُّ … وَلِيَ ثِنْتي عَشرةَ سَنَة، حَجَّها كُلَّها الَّا سَنتينِ، ماتَ سَنَةَ اربعٍ وثلاثينَ… وهوَ خَتَنُ النبيِّ -صلى اللَّه عليه وسلم- على ابْنَتيْهِ، امِّ كُلثومٍ، ورُقيَّةَ. (التاريخ الكبير للبخاري(ت ٢٥٦ هـ) ج7، صـ256).",,
6,7,عن سلمان بن ابي البردا - 1,انظر كتاب شرح الاخبار ج/8 ص8,SA_SS1.png,
6,7,عن سلمان بن ابي البردا - 2,انظر كتاب شرح الاخبار ج/8 ص8,SA_Juz8.pdf,
6,7,عن سلمان بن ابي البردا - 3,انظر كتاب شرح الاخبار ج/8 ص8,https://drive.google.com/file/d/1msXvmYkM64nOPmklsrq41gfF172hJGXs/view?usp=drive_link,الجزء الثاني - المقدمة|صفحة 1
6,7,عبد الرحمن بن ابي ليلى,"ابو عيسى عبد الرحمن بن ابي ليلى يسار، وقيل داود، بن بلال بن ابي احَيحَة ابن الجلاح الانصاري، وفي اسم ابيه خلاف غير هذا، كان من اكبر تابعي الكوفة، سمع علي بن ابي طالب وعثمان بن عفان وابا ايوب الانصاري وغيرهم، ويروى انه سمع من عمر ، والحفاظ لا يثبتون سماعه من عمر، وابوه ابو ليلى له رواية عن النبي صلى الله عليه وسلم، وشهد وقعة الجمل وكانت راية علي بن ابي طالب رضي الله عنه معه، وسمع من عبد الرحمن: الشعبي، ومجاهد، وعبد الملك بن عمير وخلق سواهم، ولد لست سنين بقين من خلافة عمر، وقتل بدُجَيل، وقيل غرق في نهر البصرة، وقيل فقد بدير الجماجم سنة ثلاث وثمانين في وقعة ابن الاشعث، وقيل سنة احدى، وقيل سنة اثنتين وثمانين للهجرة.
(وفيات الاعيان وانباء ابناء الزمان، لابي العباس شمس الدين احمد بن محمد بن ابي بكر بن خلكان، (608 - 681 هـ) حققه: الدكتور احسان عباس، المجلد الثالث، دار صادر، بيروت) صـ126.
راجع: كتاب سير اَعلام النبلاء للذهبي، ج/4 صـ 262.",,
